Iteration  0 , Training  0   1
Iteration  18 , Training  1   1
Iteration  18 , Training  0   1
Iteration  18 , Training  1   0
Iteration  19 , Training  1   1
Iteration  19 , Training  0   1
Iteration  19 , Training  0   0
Iteration  19 , Training  1   0
Iteration  20 , Training  1   0
Iteration  20 , Training  0   1
Iteration  20 , Training  0   0
Iteration  20 , Training  1   1
Iteration  21 , Training  1   0
Iteration  21 , Training  1   1
Iteration  21 , Training  0   0
Iteration  21 , Training  0   1
Iteration  22 , Training  0   0
Iteration  22 , Training  1   1
Iteration  22 , Training  1   0
Iteration  22 , Training  0   1
Iteration  23 , Training  0   1
Iteration  23 , Training  1   1
Iteration  23 , Training  1   0
Iteration  23 , Training  0   0
Iteration  24 , Training  0   1
Iteration  24 , Training  1   1
Iteration  24 , Training  1   0
Iteration  24 , Training  0   0
Iteration  25 , Training  1   0
Iteration  25 , Training  0   0
Iteration  25 , Training  1   1
Iteration  25 , Training  0   1
Iteration  26 , Training  1   0
Iteration  26 , Training  0   0
Iteration  26 , Training  1   1
Iteration  26 , Training  0   1
Iteration  27 , Training  0   0
Iteration  27 , Training  1   0
Iteration  27 , Training  0   1
Iteration  27 , Training  1   1
Iteration  28 , Training  1   1
Iteration  28 , Training  0   0
Iteration  28 , Training  1   0
Iteration  28 , Training  0   1
Iteration  29 , Training  1   0
Iteration  29 , Training  0   0
Iteration  29 , Training  1   1
Iteration  29 , Training  0   1
Iteration  30 , Training  1   0
Iteration  30 , Training  0   0
Iteration  30 , Training  0   1
Iteration  30 , Training  1   1
Iteration  31 , Training  1   1
Iteration  31 , Training  0   0
Iteration  31 , Training  1   0
Iteration  31 , Training  0   1
Iteration  32 , Training  1   1
Iteration  32 , Training  0   0
Iteration  32 , Training  0   1
Iteration  32 , Training  1   0
Iteration  33 , Training  1   1
Iteration  33 , Training  0   1
Iteration  33 , Training  0   0
Iteration  33 , Training  1   0
Iteration  34 , Training  0   1
Iteration  34 , Training  1   1
Iteration  34 , Training  1   0
Iteration  34 , Training  0   0
Iteration  35 , Training  0   0
Iteration  35 , Training  1   0
Iteration  35 , Training  0   1
Iteration  35 , Training  1   1
Iteration  36 , Training  1   0
Iteration  36 , Training  0   0
Iteration  36 , Training  0   1
Iteration  36 , Training  1   1
Iteration  37 , Training  0   1
Iteration  37 , Training  1   0
Iteration  37 , Training  0   0
Iteration  37 , Training  1   1
Iteration  38 , Training  1   1
Iteration  38 , Training  1   0
Iteration  38 , Training  0   0
Iteration  38 , Training  0   1
Iteration  39 , Training  0   1
Iteration  39 , Training  0   0
Iteration  39 , Training  1   1
Iteration  39 , Training  1   0
Iteration  40 , Training  1   1
Iteration  40 , Training  0   0
Iteration  40 , Training  1   0
Iteration  40 , Training  0   1
Iteration  41 , Training  0   0
Iteration  41 , Training  1   0
Iteration  41 , Training  1   1
Iteration  41 , Training  0   1
Iteration  42 , Training  0   1
Iteration  42 , Training  1   0
Iteration  42 , Training  1   1
Iteration  42 , Training  0   0
Iteration  43 , Training  1   0
Iteration  43 , Training  0   0
Iteration  43 , Training  1   1
Iteration  43 , Training  0   1
Iteration  44 , Training  1   0
Iteration  44 , Training  0   0
Iteration  44 , Training  0   1
Iteration  44 , Training  1   1
Iteration  45 , Training  0   1
Iteration  45 , Training  1   1
Iteration  45 , Training  0   0
Iteration  45 , Training  1   0
Iteration  46 , Training  0   0
Iteration  46 , Training  0   1
Iteration  46 , Training  1   0
Iteration  46 , Training  1   1
Iteration  47 , Training  1   0
Iteration  47 , Training  1   1
Iteration  47 , Training  0   0
Iteration  47 , Training  0   1
Iteration  48 , Training  0   1
Iteration  48 , Training  1   0
Iteration  48 , Training  0   0
Iteration  48 , Training  1   1
Iteration  49 , Training  0   0
Iteration  49 , Training  1   1
Iteration  49 , Training  1   0
Iteration  49 , Training  0   1
Iteration  50 , Training  1   0
Iteration  50 , Training  0   1
Iteration  50 , Training  0   0
Iteration  50 , Training  1   1
Iteration  51 , Training  1   1
Iteration  51 , Training  0   0
Iteration  51 , Training  0   1
Iteration  51 , Training  1   0
Iteration  52 , Training  1   1
Iteration  52 , Training  0   1
Iteration  52 , Training  1   0
Iteration  52 , Training  0   0
Iteration  53 , Training  0   1
Iteration  53 , Training  0   0
Iteration  53 , Training  1   0
Iteration  53 , Training  1   1
Iteration  54 , Training  1   0
Iteration  54 , Training  0   1
Iteration  54 , Training  0   0
Iteration  54 , Training  1   1
Iteration  55 , Training  1   0
Iteration  55 , Training  1   1
Iteration  55 , Training  0   1
Iteration  55 , Training  0   0
Iteration  56 , Training  1   0
Iteration  56 , Training  1   1
Iteration  56 , Training  0   0
Iteration  56 , Training  0   1
Iteration  57 , Training  1   1
Iteration  57 , Training  0   0
Iteration  57 , Training  0   1
Iteration  57 , Training  1   0
Iteration  58 , Training  0   1
Iteration  58 , Training  1   0
Iteration  58 , Training  1   1
Iteration  58 , Training  0   0
Iteration  59 , Training  0   0
Iteration  59 , Training  0   1
Iteration  59 , Training  1   1
Iteration  59 , Training  1   0
Iteration  60 , Training  1   0
Iteration  60 , Training  0   1
Iteration  60 , Training  1   1
Iteration  60 , Training  0   0
Iteration  61 , Training  1   1
Iteration  61 , Training  0   1
Iteration  61 , Training  1   0
Iteration  61 , Training  0   0
Iteration  62 , Training  0   1
Iteration  62 , Training  0   0
Iteration  62 , Training  1   1
Iteration  62 , Training  1   0
Iteration  63 , Training  0   1
Iteration  63 , Training  1   1
Iteration  63 , Training  0   0
Iteration  63 , Training  1   0
Iteration  64 , Training  0   1
Iteration  64 , Training  0   0
Iteration  64 , Training  1   0
Iteration  64 , Training  1   1
Iteration  65 , Training  0   0
Iteration  65 , Training  1   0
Iteration  65 , Training  1   1
Iteration  65 , Training  0   1
Iteration  66 , Training  1   1
Iteration  66 , Training  0   1
Iteration  66 , Training  1   0
Iteration  66 , Training  0   0
Iteration  67 , Training  1   0
Iteration  67 , Training  0   0
Iteration  67 , Training  1   1
Iteration  67 , Training  0   1
Iteration  68 , Training  1   1
Iteration  68 , Training  1   0
Iteration  68 , Training  0   1
Iteration  68 , Training  0   0
Iteration  69 , Training  1   1
Iteration  69 , Training  0   0
Iteration  69 , Training  0   1
Iteration  69 , Training  1   0
Iteration  70 , Training  1   1
Iteration  70 , Training  0   0
Iteration  70 , Training  1   0
Iteration  70 , Training  0   1
Iteration  71 , Training  0   0
Iteration  71 , Training  1   0
Iteration  71 , Training  1   1
Iteration  71 , Training  0   1
Iteration  72 , Training  1   1
Iteration  72 , Training  1   0
Iteration  72 , Training  0   0
Iteration  72 , Training  0   1
Iteration  73 , Training  1   0
Iteration  73 , Training  0   0
Iteration  73 , Training  1   1
Iteration  73 , Training  0   1
Iteration  74 , Training  1   1
Iteration  74 , Training  0   1
Iteration  74 , Training  0   0
Iteration  74 , Training  1   0
Iteration  75 , Training  0   1
Iteration  75 , Training  0   0
Iteration  75 , Training  1   1
Iteration  75 , Training  1   0
Iteration  76 , Training  0   0
Iteration  76 , Training  1   0
Iteration  76 , Training  1   1
Iteration  76 , Training  0   1
Iteration  77 , Training  1   1
Iteration  77 , Training  0   0
Iteration  77 , Training  1   0
Iteration  77 , Training  0   1
Iteration  78 , Training  1   1
Iteration  78 , Training  0   1
Iteration  78 , Training  1   0
Iteration  78 , Training  0   0
Iteration  79 , Training  1   1
Iteration  79 , Training  0   0
Iteration  79 , Training  0   1
Iteration  79 , Training  1   0
Iteration  80 , Training  0   1
Iteration  80 , Training  0   0
Iteration  80 , Training  1   0
Iteration  80 , Training  1   1
Iteration  81 , Training  1   1
Iteration  81 , Training  1   0
Iteration  81 , Training  0   0
Iteration  81 , Training  0   1
Iteration  82 , Training  0   0
Iteration  82 , Training  1   1
Iteration  82 , Training  0   1
Iteration  82 , Training  1   0
Iteration  83 , Training  1   0
Iteration  83 , Training  1   1
Iteration  83 , Training  0   0
Iteration  83 , Training  0   1
Iteration  84 , Training  0   1
Iteration  84 , Training  1   0
Iteration  84 , Training  0   0
Iteration  84 , Training  1   1
Iteration  85 , Training  1   0
Iteration  85 , Training  0   1
Iteration  85 , Training  0   0
Iteration  85 , Training  1   1
Iteration  86 , Training  1   0
Iteration  86 , Training  0   1
Iteration  86 , Training  0   0
Iteration  86 , Training  1   1
Iteration  87 , Training  1   0
Iteration  87 , Training  1   1
Iteration  87 , Training  0   0
Iteration  87 , Training  0   1
Iteration  88 , Training  0   1
Iteration  88 , Training  0   0
Iteration  88 , Training  1   0
Iteration  88 , Training  1   1
Iteration  89 , Training  1   0
Iteration  89 , Training  0   1
Iteration  89 , Training  1   1
Iteration  89 , Training  0   0
Iteration  90 , Training  1   0
Iteration  90 , Training  1   1
Iteration  90 , Training  0   1
Iteration  90 , Training  0   0
Iteration  91 , Training  0   1
Iteration  91 , Training  1   1
Iteration  91 , Training  1   0
Iteration  91 , Training  0   0
Iteration  92 , Training  1   1
Iteration  92 , Training  0   0
Iteration  92 , Training  1   0
Iteration  92 , Training  0   1
Iteration  93 , Training  1   1
Iteration  93 , Training  0   0
Iteration  93 , Training  0   1
Iteration  93 , Training  1   0
Iteration  94 , Training  1   1
Iteration  94 , Training  1   0
Iteration  94 , Training  0   0
Iteration  94 , Training  0   1
Iteration  95 , Training  0   0
Iteration  95 , Training  1   1
Iteration  95 , Training  1   0
Iteration  95 , Training  0   1
Iteration  96 , Training  1   1
Iteration  96 , Training  0   0
Iteration  96 , Training  1   0
Iteration  96 , Training  0   1
Iteration  97 , Training  0   0
Iteration  97 , Training  1   1
Iteration  97 , Training  1   0
Iteration  97 , Training  0   1
Iteration  98 , Training  0   0
Iteration  98 , Training  0   1
Iteration  98 , Training  1   1
Iteration  98 , Training  1   0
Iteration  99 , Training  0   1
Iteration  99 , Training  1   1
Iteration  99 , Training  0   0
Iteration  99 , Training  1   0
Iteration  100 , Training  0   0
Iteration  100 , Training  1   1
Iteration  100 , Training  1   0
Iteration  100 , Training  0   1
Iteration  101 , Training  0   1
Iteration  101 , Training  0   0
Iteration  101 , Training  1   1
Iteration  101 , Training  1   0
Iteration  102 , Training  0   0
Iteration  102 , Training  0   1
Iteration  102 , Training  1   1
Iteration  102 , Training  1   0
Iteration  103 , Training  1   1
Iteration  103 , Training  0   0
Iteration  103 , Training  1   0
Iteration  103 , Training  0   1
Iteration  104 , Training  1   0
Iteration  104 , Training  1   1
Iteration  104 , Training  0   1
Iteration  104 , Training  0   0
Iteration  105 , Training  0   0
Iteration  105 , Training  1   1
Iteration  105 , Training  1   0
Iteration  105 , Training  0   1
Iteration  106 , Training  1   1
Iteration  106 , Training  1   0
Iteration  106 , Training  0   0
Iteration  106 , Training  0   1
Iteration  107 , Training  0   0
Iteration  107 , Training  0   1
Iteration  107 , Training  1   1
Iteration  107 , Training  1   0
Iteration  108 , Training  0   0
Iteration  108 , Training  1   0
Iteration  108 , Training  1   1
Iteration  108 , Training  0   1
Iteration  109 , Training  0   0
Iteration  109 , Training  0   1
Iteration  109 , Training  1   0
Iteration  109 , Training  1   1
Iteration  110 , Training  0   1
Iteration  110 , Training  0   0
Iteration  110 , Training  1   0
Iteration  110 , Training  1   1
Iteration  111 , Training  0   1
Iteration  111 , Training  0   0
Iteration  111 , Training  1   0
Iteration  111 , Training  1   1
Iteration  112 , Training  0   1
Iteration  112 , Training  0   0
Iteration  112 , Training  1   0
Iteration  112 , Training  1   1
Iteration  113 , Training  1   1
Iteration  113 , Training  1   0
Iteration  113 , Training  0   1
Iteration  113 , Training  0   0
Iteration  114 , Training  1   1
Iteration  114 , Training  1   0
Iteration  114 , Training  0   0
Iteration  114 , Training  0   1
Iteration  115 , Training  1   1
Iteration  115 , Training  0   1
Iteration  115 , Training  1   0
Iteration  115 , Training  0   0
Iteration  116 , Training  0   1
Iteration  116 , Training  1   0
Iteration  116 , Training  1   1
Iteration  116 , Training  0   0
Iteration  117 , Training  1   0
Iteration  117 , Training  1   1
Iteration  117 , Training  0   0
Iteration  117 , Training  0   1
Iteration  118 , Training  1   1
Iteration  118 , Training  1   0
Iteration  118 , Training  0   1
Iteration  118 , Training  0   0
Iteration  119 , Training  0   0
Iteration  119 , Training  1   1
Iteration  119 , Training  1   0
Iteration  119 , Training  0   1
Iteration  120 , Training  1   0
Iteration  120 , Training  0   1
Iteration  120 , Training  0   0
Iteration  120 , Training  1   1
Iteration  121 , Training  1   1
Iteration  121 , Training  0   0
Iteration  121 , Training  1   0
Iteration  121 , Training  0   1
Iteration  122 , Training  0   0
Iteration  122 , Training  1   1
Iteration  122 , Training  0   1
Iteration  122 , Training  1   0
Iteration  123 , Training  1   0
Iteration  123 , Training  0   0
Iteration  123 , Training  0   1
Iteration  123 , Training  1   1
Iteration  124 , Training  1   0
Iteration  124 , Training  0   1
Iteration  124 , Training  0   0
Iteration  124 , Training  1   1
Iteration  125 , Training  1   0
Iteration  125 , Training  1   1
Iteration  125 , Training  0   1
Iteration  125 , Training  0   0
Iteration  126 , Training  1   1
Iteration  126 , Training  1   0
Iteration  126 , Training  0   0
Iteration  126 , Training  0   1
Iteration  127 , Training  1   1
Iteration  127 , Training  0   0
Iteration  127 , Training  1   0
Iteration  127 , Training  0   1
Iteration  128 , Training  0   1
Iteration  128 , Training  1   1
Iteration  128 , Training  1   0
Iteration  128 , Training  0   0
Iteration  129 , Training  0   0
Iteration  129 , Training  1   0
Iteration  129 , Training  0   1
Iteration  129 , Training  1   1
Iteration  130 , Training  1   0
Iteration  130 , Training  0   1
Iteration  130 , Training  0   0
Iteration  130 , Training  1   1
Iteration  131 , Training  0   0
Iteration  131 , Training  1   0
Iteration  131 , Training  0   1
Iteration  131 , Training  1   1
Iteration  132 , Training  1   0
Iteration  132 , Training  1   1
Iteration  132 , Training  0   1
Iteration  132 , Training  0   0
Iteration  133 , Training  0   1
Iteration  133 , Training  1   0
Iteration  133 , Training  0   0
Iteration  133 , Training  1   1
Iteration  134 , Training  1   1
Iteration  134 , Training  0   0
Iteration  134 , Training  0   1
Iteration  134 , Training  1   0
Iteration  135 , Training  0   0
Iteration  135 , Training  1   1
Iteration  135 , Training  0   1
Iteration  135 , Training  1   0
Iteration  136 , Training  1   0
Iteration  136 , Training  1   1
Iteration  136 , Training  0   1
Iteration  136 , Training  0   0
Iteration  137 , Training  0   1
Iteration  137 , Training  0   0
Iteration  137 , Training  1   0
Iteration  137 , Training  1   1
Iteration  138 , Training  1   0
Iteration  138 , Training  1   1
Iteration  138 , Training  0   0
Iteration  138 , Training  0   1
Iteration  139 , Training  0   0
Iteration  139 , Training  1   0
Iteration  139 , Training  0   1
Iteration  139 , Training  1   1
Iteration  140 , Training  0   0
Iteration  140 , Training  1   1
Iteration  140 , Training  0   1
Iteration  140 , Training  1   0
Iteration  141 , Training  1   0
Iteration  141 , Training  0   0
Iteration  141 , Training  1   1
Iteration  141 , Training  0   1
Iteration  142 , Training  0   1
Iteration  142 , Training  1   0
Iteration  142 , Training  1   1
Iteration  142 , Training  0   0
Iteration  143 , Training  1   1
Iteration  143 , Training  0   1
Iteration  143 , Training  1   0
Iteration  143 , Training  0   0
Iteration  144 , Training  0   0
Iteration  144 , Training  1   0
Iteration  144 , Training  1   1
Iteration  144 , Training  0   1
Iteration  145 , Training  0   0
Iteration  145 , Training  1   0
Iteration  145 , Training  0   1
Iteration  145 , Training  1   1
Iteration  146 , Training  1   0
Iteration  146 , Training  1   1
Iteration  146 , Training  0   0
Iteration  146 , Training  0   1
Iteration  147 , Training  0   1
Iteration  147 , Training  1   0
Iteration  147 , Training  0   0
Iteration  147 , Training  1   1
Iteration  148 , Training  0   0
Iteration  148 , Training  0   1
Iteration  148 , Training  1   0
Iteration  148 , Training  1   1
Iteration  149 , Training  1   0
Iteration  149 , Training  1   1
Iteration  149 , Training  0   0
Iteration  149 , Training  0   1
Iteration  150 , Training  1   1
Iteration  150 , Training  1   0
Iteration  150 , Training  0   1
Iteration  150 , Training  0   0
Iteration  151 , Training  0   1
Iteration  151 , Training  1   1
Iteration  151 , Training  1   0
Iteration  151 , Training  0   0
Iteration  152 , Training  1   0
Iteration  152 , Training  1   1
Iteration  152 , Training  0   0
Iteration  152 , Training  0   1
Iteration  153 , Training  0   1
Iteration  153 , Training  1   1
Iteration  153 , Training  1   0
Iteration  153 , Training  0   0
Iteration  154 , Training  1   0
Iteration  154 , Training  0   0
Iteration  154 , Training  1   1
Iteration  154 , Training  0   1
Iteration  155 , Training  1   0
Iteration  155 , Training  0   1
Iteration  155 , Training  0   0
Iteration  155 , Training  1   1
Iteration  156 , Training  1   0
Iteration  156 , Training  0   0
Iteration  156 , Training  1   1
Iteration  156 , Training  0   1
Iteration  157 , Training  1   0
Iteration  157 , Training  1   1
Iteration  157 , Training  0   1
Iteration  157 , Training  0   0
Iteration  158 , Training  1   1
Iteration  158 , Training  1   0
Iteration  158 , Training  0   0
Iteration  158 , Training  0   1
Iteration  159 , Training  1   0
Iteration  159 , Training  0   1
Iteration  159 , Training  0   0
Iteration  159 , Training  1   1
Iteration  160 , Training  0   1
Iteration  160 , Training  0   0
Iteration  160 , Training  1   0
Iteration  160 , Training  1   1
Iteration  161 , Training  0   0
Iteration  161 , Training  1   1
Iteration  161 , Training  1   0
Iteration  161 , Training  0   1
Iteration  162 , Training  1   1
Iteration  162 , Training  0   0
Iteration  162 , Training  1   0
Iteration  162 , Training  0   1
Iteration  163 , Training  0   0
Iteration  163 , Training  0   1
Iteration  163 , Training  1   0
Iteration  163 , Training  1   1
Iteration  164 , Training  1   1
Iteration  164 , Training  0   0
Iteration  164 , Training  0   1
Iteration  164 , Training  1   0
Iteration  165 , Training  0   0
Iteration  165 , Training  1   1
Iteration  165 , Training  1   0
Iteration  165 , Training  0   1
Iteration  166 , Training  1   1
Iteration  166 , Training  0   1
Iteration  166 , Training  1   0
Iteration  166 , Training  0   0
Iteration  167 , Training  0   0
Iteration  167 , Training  1   0
Iteration  167 , Training  1   1
Iteration  167 , Training  0   1
Iteration  168 , Training  1   0
Iteration  168 , Training  1   1
Iteration  168 , Training  0   0
Iteration  168 , Training  0   1
Iteration  169 , Training  1   1
Iteration  169 , Training  0   0
Iteration  169 , Training  1   0
Iteration  169 , Training  0   1
Iteration  170 , Training  0   1
Iteration  170 , Training  1   0
Iteration  170 , Training  0   0
Iteration  170 , Training  1   1
Iteration  171 , Training  0   0
Iteration  171 , Training  1   1
Iteration  171 , Training  0   1
Iteration  171 , Training  1   0
Iteration  172 , Training  0   0
Iteration  172 , Training  1   0
Iteration  172 , Training  1   1
Iteration  172 , Training  0   1
Iteration  173 , Training  1   0
Iteration  173 , Training  0   0
Iteration  173 , Training  1   1
Iteration  173 , Training  0   1
Iteration  174 , Training  1   1
Iteration  174 , Training  0   1
Iteration  174 , Training  0   0
Iteration  174 , Training  1   0
Iteration  175 , Training  1   0
Iteration  175 , Training  1   1
Iteration  175 , Training  0   0
Iteration  175 , Training  0   1
Iteration  176 , Training  1   0
Iteration  176 , Training  0   1
Iteration  176 , Training  1   1
Iteration  176 , Training  0   0
Iteration  177 , Training  1   1
Iteration  177 , Training  1   0
Iteration  177 , Training  0   1
Iteration  177 , Training  0   0
Iteration  178 , Training  1   0
Iteration  178 , Training  0   0
Iteration  178 , Training  1   1
Iteration  178 , Training  0   1
Iteration  179 , Training  0   0
Iteration  179 , Training  0   1
Iteration  179 , Training  1   1
Iteration  179 , Training  1   0
Iteration  180 , Training  1   0
Iteration  180 , Training  1   1
Iteration  180 , Training  0   0
Iteration  180 , Training  0   1
Iteration  181 , Training  1   1
Iteration  181 , Training  0   0
Iteration  181 , Training  0   1
Iteration  181 , Training  1   0
Iteration  182 , Training  0   0
Iteration  182 , Training  1   0
Iteration  182 , Training  0   1
Iteration  182 , Training  1   1
Iteration  183 , Training  1   1
Iteration  183 , Training  0   0
Iteration  183 , Training  1   0
Iteration  183 , Training  0   1
Iteration  184 , Training  0   1
Iteration  184 , Training  1   0
Iteration  184 , Training  1   1
Iteration  184 , Training  0   0
Iteration  185 , Training  1   0
Iteration  185 , Training  0   0
Iteration  185 , Training  0   1
Iteration  185 , Training  1   1
Iteration  186 , Training  0   0
Iteration  186 , Training  0   1
Iteration  186 , Training  1   1
Iteration  186 , Training  1   0
Iteration  187 , Training  1   0
Iteration  187 , Training  0   0
Iteration  187 , Training  1   1
Iteration  187 , Training  0   1
Iteration  188 , Training  0   1
Iteration  188 , Training  1   0
Iteration  188 , Training  0   0
Iteration  188 , Training  1   1
Iteration  189 , Training  1   1
Iteration  189 , Training  0   1
Iteration  189 , Training  1   0
Iteration  189 , Training  0   0
Iteration  190 , Training  1   0
Iteration  190 , Training  1   1
Iteration  190 , Training  0   0
Iteration  190 , Training  0   1
Iteration  191 , Training  1   1
Iteration  191 , Training  0   1
Iteration  191 , Training  0   0
Iteration  191 , Training  1   0
Iteration  192 , Training  1   1
Iteration  192 , Training  1   0
Iteration  192 , Training  0   0
Iteration  192 , Training  0   1
Iteration  193 , Training  0   0
Iteration  193 , Training  1   0
Iteration  193 , Training  0   1
Iteration  193 , Training  1   1
Iteration  194 , Training  1   1
Iteration  194 , Training  0   0
Iteration  194 , Training  1   0
Iteration  194 , Training  0   1
Iteration  195 , Training  1   1
Iteration  195 , Training  1   0
Iteration  195 , Training  0   1
Iteration  195 , Training  0   0
Iteration  196 , Training  0   0
Iteration  196 , Training  0   1
Iteration  196 , Training  1   0
Iteration  196 , Training  1   1
Iteration  197 , Training  1   0
Iteration  197 , Training  0   0
Iteration  197 , Training  1   1
Iteration  197 , Training  0   1
Iteration  198 , Training  1   1
Iteration  198 , Training  1   0
Iteration  198 , Training  0   1
Iteration  198 , Training  0   0
Iteration  199 , Training  1   1
Iteration  199 , Training  0   1
Iteration  199 , Training  0   0
Iteration  199 , Training  1   0
Iteration  200 , Training  0   1
Iteration  200 , Training  0   0
Iteration  200 , Training  1   0
Iteration  200 , Training  1   1
Iteration  201 , Training  0   0
Iteration  201 , Training  0   1
Iteration  201 , Training  1   1
Iteration  201 , Training  1   0
Iteration  202 , Training  1   0
Iteration  202 , Training  0   0
Iteration  202 , Training  0   1
Iteration  202 , Training  1   1
Iteration  203 , Training  0   1
Iteration  203 , Training  1   1
Iteration  203 , Training  1   0
Iteration  203 , Training  0   0
Iteration  204 , Training  0   0
Iteration  204 , Training  1   1
Iteration  204 , Training  1   0
Iteration  204 , Training  0   1
Iteration  205 , Training  0   0
Iteration  205 , Training  1   1
Iteration  205 , Training  0   1
Iteration  205 , Training  1   0
Iteration  206 , Training  1   0
Iteration  206 , Training  0   1
Iteration  206 , Training  1   1
Iteration  206 , Training  0   0
Iteration  207 , Training  0   0
Iteration  207 , Training  1   0
Iteration  207 , Training  1   1
Iteration  207 , Training  0   1
Iteration  208 , Training  1   0
Iteration  208 , Training  0   1
Iteration  208 , Training  0   0
Iteration  208 , Training  1   1
Iteration  209 , Training  0   0
Iteration  209 , Training  0   1
Iteration  209 , Training  1   1
Iteration  209 , Training  1   0
Iteration  210 , Training  0   1
Iteration  210 , Training  1   1
Iteration  210 , Training  0   0
Iteration  210 , Training  1   0
Iteration  211 , Training  0   1
Iteration  211 , Training  0   0
Iteration  211 , Training  1   0
Iteration  211 , Training  1   1
Iteration  212 , Training  1   0
Iteration  212 , Training  1   1
Iteration  212 , Training  0   1
Iteration  212 , Training  0   0
Iteration  213 , Training  0   0
Iteration  213 , Training  1   1
Iteration  213 , Training  1   0
Iteration  213 , Training  0   1
Iteration  214 , Training  0   0
Iteration  214 , Training  0   1
Iteration  214 , Training  1   1
Iteration  214 , Training  1   0
Iteration  215 , Training  0   0
Iteration  215 , Training  0   1
Iteration  215 , Training  1   1
Iteration  215 , Training  1   0
Iteration  216 , Training  0   0
Iteration  216 , Training  1   0
Iteration  216 , Training  1   1
Iteration  216 , Training  0   1
Iteration  217 , Training  0   0
Iteration  217 , Training  1   0
Iteration  217 , Training  1   1
Iteration  217 , Training  0   1
Iteration  218 , Training  0   1
Iteration  218 , Training  1   0
Iteration  218 , Training  1   1
Iteration  218 , Training  0   0
Iteration  219 , Training  0   1
Iteration  219 , Training  1   0
Iteration  219 , Training  0   0
Iteration  219 , Training  1   1
Iteration  220 , Training  1   1
Iteration  220 , Training  1   0
Iteration  220 , Training  0   0
Iteration  220 , Training  0   1
Iteration  221 , Training  1   1
Iteration  221 , Training  0   0
Iteration  221 , Training  1   0
Iteration  221 , Training  0   1
Iteration  222 , Training  0   0
Iteration  222 , Training  1   1
Iteration  222 , Training  1   0
Iteration  222 , Training  0   1
Iteration  223 , Training  0   1
Iteration  223 , Training  1   0
Iteration  223 , Training  1   1
Iteration  223 , Training  0   0
Iteration  224 , Training  0   1
Iteration  224 , Training  1   1
Iteration  224 , Training  1   0
Iteration  224 , Training  0   0
Iteration  225 , Training  1   1
Iteration  225 , Training  1   0
Iteration  225 , Training  0   0
Iteration  225 , Training  0   1
Iteration  226 , Training  1   0
Iteration  226 , Training  1   1
Iteration  226 , Training  0   1
Iteration  226 , Training  0   0
Iteration  227 , Training  0   1
Iteration  227 , Training  1   1
Iteration  227 , Training  0   0
Iteration  227 , Training  1   0
Iteration  228 , Training  1   1
Iteration  228 , Training  0   1
Iteration  228 , Training  0   0
Iteration  228 , Training  1   0
Iteration  229 , Training  1   1
Iteration  229 , Training  1   0
Iteration  229 , Training  0   1
Iteration  229 , Training  0   0
Iteration  230 , Training  0   0
Iteration  230 , Training  1   0
Iteration  230 , Training  1   1
Iteration  230 , Training  0   1
Iteration  231 , Training  0   1
Iteration  231 , Training  1   0
Iteration  231 , Training  1   1
Iteration  231 , Training  0   0
Iteration  232 , Training  0   0
Iteration  232 , Training  0   1
Iteration  232 , Training  1   0
Iteration  232 , Training  1   1
